Data e Hora de Execução:23-06-2024-20:22:42
Tempos em segundos:
Tamanho/Tipo,Aleatorio,Aleatorio-RangeMenor,Aleatorio-RangeMaior,Aleatorio-CEP,Aleatorio-Iguais,Aleatorio-Extremo,Crescente,Crescente-RangeMenor,Crescente-RangeMaior,Crescente-CEP,Crescente-Iguais,Crescente-Extremo,Decrescente,Decrescente-RangeMenor,Decrescente-RangeMaior,Decrescente-CEP,Decrescente-Iguais,Decrescente-Extremo
10000,0.017673,0.008433,0.008449,0.009114,0.007506,0.011384,0.007876,0.00743,0.007543,0.008216,0.006959,0.01052,0.00786,0.007494,0.007464,0.008209,0.006914,0.010455,
100000,0.079984,0.075267,0.086159,0.082359,0.072363,0.104686,0.095004,0.074565,0.074551,0.067009,0.046719,0.083286,0.052687,0.049849,0.050119,0.05494,0.045956,0.08308,
500000,0.28575,0.269162,0.270554,0.29555,0.260834,0.370655,0.283014,0.267485,0.270746,0.2922,0.25274,0.364367,0.276652,0.262792,0.263481,0.298244,0.249644,0.370707,
1000000,0.579841,0.543364,0.539229,0.587094,0.526325,0.742104,0.563163,0.532814,0.537455,0.582944,0.501014,0.737822,0.565099,0.536698,0.545192,0.588398,0.499174,0.746247,
Tempo Total,170.966368
Tempo Médio Total,0.237453
